,SECID,SECNAME
0,ABIO,"ПАО ""Артген"""
1,ABRD,Абрау-Дюрсо ПАО ао
2,ACKO,АСКО ПАО ао
3,AFKS,"АФК ""Система"" ПАО ао"
4,AFLT,Аэрофлот-росс.авиалин(ПАО)ао
5,AGRO,ГДР ROS AGRO PLC ORD SHS
6,AKRN,Акрон ПАО ао
7,ALRS,АЛРОСА ПАО ао
8,AMEZ,Ашинский метзавод ПАО ао
9,APTK,"ПАО ""Аптечная сеть 36,6"" ао"
10,AQUA,ПАО ИНАРКТИКА
11,ARSA,УК Арсагера ПАО-ао
12,ASSB,"""Астраханская ЭСК"" ПАО"
13,ASTR,Группа Астра ао
14,AVAN,"АКБ ""АВАНГАРД"" ПАО ао"
15,BANE,Башнефть АНК ао
16,BANEP,Башнефть АНК ап
17,BELU,НоваБев Групп ПАО ао
18,BISVP,Башинформсвязь(ПАО) ап
19,BLNG,Белон ОАО ао
20,BRZL,Бурятзолото ПАО ао
21,BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао"
22,BSPBP,Банк Санкт-Петербург ап
23,CARM,СТГ ао
24,CBOM,"""МКБ"" ПАО ао"
25,CHGZ,РН-Западная Сибирь ПАО ао
26,CHKZ,"""ЧКПЗ"" ПАО ао"
27,CHMF,Северсталь (ПАО)ао
28,CHMK,"""ЧМК"" ПАО ао"
29,CIAN,АДР Cian PLC ORD SHS
30,CNTL,"""Центральный Телеграф"" ПАО ао"
31,CNTLP,"""Центральный Телеграф"" ПАО ап"
32,DELI,Каршеринг Руссия ао
33,DIAS,Диасофт ао
34,DIOD,Завод ДИОД ПАО ао
35,DSKY,ПАО Детский мир
36,DVEC,"""ДЭК"" ПАО ао"
37,DZRD,Донской завод радиодеталей ао
38,DZRDP,Донской завод радиодеталей ап
39,EELT,"""ЕвропЭлектротехника"" ПАО ао"
40,ELFV,"""ЭЛ5-Энерго"" ПАО"
41,ENPG,МКПАО ЭН+ ГРУП ао
42,ETLN,ГДР ETALON GROUP PLC ORD SHS
43,EUTR,ЕвроТранс ао
44,FEES,"""ФСК - Россети"" ПАО"
45,FESH,ДВ морское пароходство ПАО ао
46,FIVE,ГДР X5 RetailGroup N.V.ORD SHS
47,FIXP,ГДР FixPrice Group PLC ORD SHS
48,FLOT,Совкомфлот ао
49,GAZC,ГАЗКОН (ПАО) ао
50,GAZP,"""Газпром"" (ПАО) ао"
51,GAZS,ГАЗ-сервис (ПАО) ао
52,GAZT,ГАЗ-Тек ПАО ао
53,GCHE,Группа Черкизово ПАО-ао
54,GECO,ЦГРМ ГЕНЕТИКО ао
55,GEMA,ПАО ММЦБ ао
56,GEMC,Юнайтед Медикал Груп ПАО
57,GLTR,ГДР Globaltrans Invest ORD SHS
58,GMKN,"ГМК ""Нор.Никель"" ПАО ао"
59,GTRK,"ПАО ""ГТМ"" ао"
60,HHRU,АДР HeadHunter Group ORD SHS
61,HIMCP,Химпром ПАО ап
62,HNFG,ХЭНДЕРСОН ао
63,HYDR,"ПАО ""РусГидро"""
64,IGST,Ижсталь ПАО ао 2в.
65,IGSTP,Ижсталь ПАО ап
66,INGR,ИНГРАД ПАО ао
67,IRAO,"""Интер РАО"" ПАО ао"
68,IRKT,"""Яковлев"" ПАО ак.об.-3"
69,JNOS,Славнефть-ЯНОС (ПАО) ао
70,JNOSP,Славнефть-ЯНОС (ПАО) ап
71,KAZT,Куйбышевазот ПАО ао
72,KAZTP,Куйбышевазот ПАО ап
73,KBSB,ТНС энерго Кубань ПАО ао
74,KCHE,Камчатскэнерго ПАО ао
75,KCHEP,Камчатскэнерго ПАО ап
76,KGKC,Курганская генер.комп.ПАО ао
77,KGKCP,Курганская генер. комп. ПАО ап
78,KLSB,"ао""Калужская сбыт.комп.""ПАО"
79,KMAZ,КАМАЗ ПАО
80,KMEZ,Ковровский механический завод
81,KOGK,Коршуновский ГОК ПАО ао
82,KRKN,Саратовский НПЗ ПАО ао
83,KRKNP,Саратовский НПЗ ПАО ап
84,KRKOP,ТКЗ Красный котельщик ПАО ап
85,KROT,"""КрасныйОктябрь"" ПАО - ао"
86,KROTP,КрасныйОктябрь-1п
87,KRSB,Красноярскэнергосбыт ао
88,KRSBP,Красноярскэнергосбыт ап
89,KTSB,"""Костромск.сбыт.комп"" ПАО"
90,KTSBP,"""Костромск.сбыт.комп"" ПАО"
91,KUBE,"""Россети Кубань"" ПАО"
92,KUZB,"Банк ""Кузнецкий"" ПАО ао"
93,KZOS,"ПАО ""Органический синтез"" ао"
94,KZOSP,"ПАО ""Органический синтез"" ап"
95,LENT,Лента МКПАО ао
96,LKOH,НК ЛУКОЙЛ (ПАО) - ао
97,LNZL,"""Лензолото"" ПАО ао"
98,LNZLP,"""Лензолото"" ПАО ап"
99,LSNG,Россети Ленэнерго ПАО-ао
100,LSNGP,Россети Ленэнерго ПАО-ап
101,LSRG,Группа ЛСР ПАО ао
102,LVHK,Левенгук ПАО ао
103,MAGE,"""Магаданэнерго"" ПАО ао"
104,MAGEP,"""Магаданэнерго"" ПАО ап"
105,MAGN,"""Магнитогорск.мет.комб"" ПАО ао"
106,MDMG,ГДР MD Medical Group Inv. PLC
107,MFGS,"ао ""Славнефть-Мегионнефтегаз"""
108,MFGSP,ап Мегионнефтегаз
109,MGKL,МГКЛ ао
110,MGNT,"""Магнит"" ПАО ао"
111,MGNZ,Соликамский магн.завод(ОАО)ао
112,MGTS,"ПАО ""МГТС"" ао (5 в)"
113,MGTSP,"ПАО ""МГТС"" ап (4 в)"
114,MISB,ТНС энерго Марий Эл ПАО ао
115,MISBP,ТНС энерго Марий Эл ПАО ап
116,MOEX,ПАО Московская Биржа
117,MRKC,"ПАО ""Россети Центр"" ао"
118,MRKK,Россети Сев. Кавказ ао
119,MRKP,Россети Центр и Приволжье ао
120,MRKS,Россети Сибирь ао
121,MRKU,Россети Урал (ПАО) ао
122,MRKV,Россети Волга ао
123,MRKY,Россети Юг  (ПАО) ао
124,MRKZ,ПАО Россети Северо-Запад ао
125,MRSB,Мордовск.энергсбыт.комп.ПАО ао
126,MSNG,МосЭнерго акции обыкн.
127,MSRS,ПАО Россети Моск.рег. ао
128,MSTT,"ПАО ""МОСТОТРЕСТ"" ао"
129,MTLR,Мечел ПАО ао
130,MTLRP,Мечел ПАО ап
131,MTSS,Мобильные ТелеСистемы ПАО ао
132,MVID,"""М.видео"" ПАО ао"
133,NAUK,НПО Наука ао
134,NFAZ,НЕФАЗ ПАО ао
135,NKHP,НКХП ПАО ао
136,NKNC,"""Нижнекамскнефтехим"" ПАО ао"
137,NKNCP,"""Нижнекамскнефтехим"" ПАО ап"
138,NKSH,Нижнекамскшина ПАО ао
139,NLMK,"ПАО ""НЛМК"" ао"
140,NMTP,НМТП (ПАО) ао
141,NNSB,ТНС энерго Нижний Новг.ПАО ао
142,NNSBP,ТНС энерго Нижний Новг.ПАО ап
143,NSVZ,Наука-Связь ПАО ао
144,NVTK,"ПАО ""НОВАТЭК"" ао"
145,OGKB,ОГК-2 ПАО ао
146,OKEY,ГДР OKEY Group S.A. ORD SHS
147,OMZZP,"ап""Объединён.  маш. заводы"""
148,OZON,АДР Ozon Holdings PLC ORD SHS
149,PHOR,ФосАгро ПАО ао
150,PIKK,ПИК СЗ (ПАО) ао
151,PLZL,Полюс ПАО ао
152,PMSB,"""Пермэнергосбыт"" ПАО ао"
153,PMSBP,"""Пермэнергосбыт"" ПАО ап"
154,POLY,Polymetal International plc
155,POSI,Группа Позитив ао
156,PRFN,ЧЗПСН-Профнастил (ПАО) ао
157,PRMB,"АКБ ""Приморье"" ао"
158,QIWI,QIWI PLC
159,RASP,ПАО Распадская ао
160,RBCM,ГК РБК ПАО ао
161,RDRB,РоссийскийДорож Банк ПАО ао
162,RENI,Ренессанс Страхование ао
163,RGSS,Росгосстрах СК ПАО ао
164,RKKE,РКК Энергия им.С.П.Королева ао
165,RNFT,РуссНефть НК ПАО ао
166,ROLO,"""Русолово"" ПАО ао"
167,ROSB,РОСБАНК ПАО ао
168,ROSN,ПАО НК Роснефть
169,ROST,РОСИНТЕР РЕСТОРАНТС (ПАО)
170,RTGZ,Газпром газорасп Р-н-Д ПАО ао
171,RTKM,Ростелеком (ПАО) ао.
172,RTKMP,Ростелеком (ПАО) ап.
173,RTSB,ТНС энерго Ростов. ПАО ао
174,RTSBP,ТНС энерго Ростов. ПАО ап
175,RUAL,РУСАЛ ОК МКПАО ао
176,RUSI,РУСС-ИНВЕСТ ИК ПАО ао
177,RZSB,"""Рязанская энергосб.комп"" ПАО"
178,SAGO,Самараэнерго (ПАО) - ао
179,SAGOP,Самараэнерго (ПАО) - ап
180,SARE,Саратовэнерго(ПАО)-ао
181,SAREP,Саратовэнерго(ПАО)-ап
182,SBER,Сбербанк России ПАО ао
183,SBERP,Сбербанк России ПАО ап
184,SELG,"ПАО ""Селигдар""  ао"
185,SFIN,ЭсЭфАй ПАО ао
186,SGZH,Сегежа ао
187,SIBN,Газпром нефть ПАО ао
188,SLEN,"ПАО ""Сахалинэнерго"" ао"
189,SMLT,ГК Самолет ао
190,SNGS,Сургутнефтегаз ПАО акции об.
191,SNGSP,Сургутнефтегаз ПАО ап
192,SOFL,Софтлайн ао
193,SPBE,СПБ Биржа ао
194,STSB,Ставрополэнергосбыт ПАО ао
195,STSBP,Ставрополэнергосбыт ПАО ап
196,SVAV,"ПАО ""СОЛЛЕРС"""
197,SVCB,Совкомбанк ао
198,SVET,Светофор Групп ао
199,TASB,"ао""Тамбов.энергсбыт.комп.""ПАО"
200,TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО"
201,TATN,"ПАО ""Татнефть"" ао"
202,TATNP,"ПАО ""Татнефть"" ап 3 вып."
203,TCSG,ГДР TCS Group Holding ORD SHS
204,TGKA,"ао ПАО ""ТГК-1"""
205,TGKB,"ао ПАО ""ТГК-2"""
206,TGKBP,"ап ПАО ""ТГК-2"""
207,TGKN,"ао ПАО ""ТГК-14"""
208,TNSE,"ПАО ГК ""ТНС энерго"" ао"
209,TORS,"ао ""Томская распределит.комп."""
210,TORSP,"ап ""Томская распределит.комп."""
211,TRMK,ПАО ТМК
212,TRNFP,Транснефть ПАО акц.пр.
213,TTLK,"""Таттелеком"" ПАО ао"
214,TUZA,Туймаз. завод автобетоновозов
215,UGLD,ЮГК
216,UKUZ,Южный Кузбасс ПАО ао
217,UNAC,Об.авиастр.корп. ПАО ао
218,UNKL,Южно-Уральский никел. комб. ао
219,UPRO,Юнипро ПАО ао
220,URKZ,"ПАО ""Уральская кузница"" ао"
221,USBN,БАНК УРАЛСИБ ПАО ао
222,UTAR,"Авиакомпания ""ЮТэйр"" (ПАО) ао"
223,VEON-RX,VEON Ltd. ORD SHS
224,VGSB,"""Волгоград.энергосбыткомп"" ПАО"
225,VGSBP,"""Волгоград.энергосбыткомп"" ПАО"
226,VJGZ,ННК-Варьеганнефтегаз ПАО ао
227,VJGZP,ННК-Варьеганнефтегаз ПАО ап
228,VKCO,Международная компания ПАО ВК
229,VLHZ,Владимирский химич.з-д(ПАО) ао
230,VRSB,ТНС энерго Воронеж ПАО ао
231,VRSBP,ТНС энерго Воронеж ПАО ап
232,VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао
233,VSYD,Выборгский Суд.Завод ПАО ао
234,VSYDP,Выборгский Суд.Завод ПАО ап
235,VTBR,ао ПАО Банк ВТБ
236,WTCM,"""Центр междун. торговли""ПАО ао"
237,WTCMP,"""Центр междун. торговли""ПАО ап"
238,WUSH,ВУШ Холдинг ао
239,YAKG,Якутская топл.-энерг. комп. ао
240,YKEN,"АК ""Якутскэнерго"" (ПАО) ао"
241,YKENP,"АК ""Якутскэнерго"" (ПАО) ап"
242,YNDX,PLLC Yandex N.V. class A shs
243,YRSB,ТНС энерго Ярославль ПАО ао
244,YRSBP,ТНС энерго Ярославль ПАО ап
245,ZILL,Завод им. И.А.Лихачева ПАО ао
246,ZVEZ,ЗВЕЗДА ПАО ао
